time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.97344435413e-07,-8.87293505749e-08,10.0038755555,6.28302286654,0.000193471460054,0.0,-1.75818286868e-05,-1.0913715279e-05,0.129178551831,-0.00876222550174,0.00899910146794,0.0,445.3246853328004,446.0599987307067,446.7881641726025,446.0733906188925
0.12000000000000001,-6.84523034594e-06,-5.67378784733e-06,10.0127778331,6.28242549139,0.000825297615127,0.0,-0.000258584850192,-0.000227307826215,0.167558762941,-0.0124581353208,0.0134295178493,0.0,416.8932892115302,417.28004143194033,416.9050345297644,416.5821549122813
0.18,-4.51148656216e-05,-4.01343042533e-05,10.0286294662,6.28189521181,0.00139872682444,0.0,-0.00109853829848,-0.000994365054903,0.360787089562,-0.00243483624747,0.000396885767238,0.0,466.8427249230898,465.8247698798858,464.453129850046,465.2385683205989
0.23999999999999996,-0.000138422533102,-0.00012475796272,10.0515131414,6.28159866889,0.00213497082518,0.0,-0.00205357567443,-0.00184654853532,0.401988039408,-0.0104997225963,0.0291357362148,0.0,416.49037428180617,418.9959208119499,418.5576370071462,417.8553636583785
0.3,-0.000309426202155,-0.000268573768777,10.0773429721,6.2809191832,0.00406764628454,0.0,-0.00382310295906,-0.00300984255165,0.458984107377,-0.0130280915966,0.0377436984317,0.0,422.3140072648029,423.0561584501074,423.8605651237881,423.6433711680993
0.36000000000000004,-0.000631489098966,-0.000498797274411,10.1078904452,6.28033257785,0.00600293711693,0.0,-0.00712971631235,-0.00473327966134,0.559219498596,-0.00395941301818,0.0180464041496,0.0,437.6510513763857,436.00915946593034,437.22274119613513,437.97763534050046
0.4200000000000001,-0.0012057645626,-0.000851084997432,10.1473668794,6.28011480656,0.00727098198781,0.0,-0.012149683157,-0.00703582048122,0.756550550463,-0.00297772797578,0.0266867775382,0.0,466.39859978576476,467.0728185484246,467.46698137137565,467.5435312236614
0.48000000000000015,-0.00208440787905,-0.00133432209309,10.1948650668,6.28018898761,0.00842687055128,0.0,-0.0172796849641,-0.0090759501311,0.826672720384,0.0085564211942,-0.00284629581069,0.0,429.9234404839643,427.4141651596322,426.6817492018371,427.6651641389389
0.5400000000000001,-0.00329772144029,-0.00193906286429,10.2477498249,6.28117503592,0.00880866886386,0.0,-0.0231789458277,-0.0110008027496,0.936068977625,0.0287805195676,0.0203134128178,0.0,439.622390394975,441.536915957935,439.76437263957143,441.4361225893607
0.6000000000000002,-0.00486308737767,-0.00263151244238,10.3054852235,6.28303119313,0.0107343684196,0.0,-0.0291552724438,-0.0119103898123,0.988398947912,0.0349308401685,0.0488626309039,0.0,419.96630764390903,422.43543428505643,423.3632754021073,423.89243862861974
0.6600000000000003,-0.00687932234124,-0.00334066175475,10.3708071246,0.00160583830896,0.0134809261148,0.0,-0.038383264703,-0.0114987044813,1.18880672482,0.0147411790155,0.0387530046403,0.0,469.815921299661,469.0326155066172,468.72654720294685,467.15528006295597
0.7200000000000003,-0.00949203618441,-0.00399131333594,10.4467292585,0.00225511398439,0.0159327089109,0.0,-0.0489675868865,-0.0101041538112,1.34175977521,0.00152608822651,0.0447794022264,0.0,454.53141675499563,455.01490201771054,455.40155456719936,454.34327489546047
0.7800000000000004,-0.0127667005182,-0.00455104487749,10.5300520572,0.00235106844188,0.0187655159606,0.0,-0.0604654457695,-0.00854434976579,1.43554844211,0.00174515773573,0.0516828855938,0.0,436.7516367825633,437.3283534182541,436.45934929833925,436.47759613990434
0.8400000000000004,-0.0168582443148,-0.00500692274332,10.6224862478,0.00244935521953,0.0220071978372,0.0,-0.0762894444191,-0.00664024974911,1.64530524729,0.00142314168195,0.0583465769503,0.0,472.0256081991854,472.5412648200862,472.68829423585163,472.6634449466983
0.9000000000000005,-0.0219152659884,-0.00535248542754,10.7247105923,0.00306971177303,0.0251052550319,0.0,-0.0926245097437,-0.00483768519509,1.76199120773,0.0239448431129,0.0327601620723,0.0,446.9098180886351,444.82119673656854,442.9522559556793,444.8002797015879
0.9600000000000005,-0.0279842963864,-0.005575448943,10.8328489414,0.00482096748397,0.026685088001,0.0,-0.109854012635,-0.00243527083296,1.84248789936,0.0380205175451,0.00861527728667,0.0,435.13320884660664,433.10752037909424,432.89939501907384,434.0823801254582
1.0200000000000005,-0.0351395381026,-0.0056112452258,10.9467816044,0.00710235876992,0.0273935873188,0.0,-0.128713739325,0.00147798514801,1.95507766235,0.0380285275166,0.0175318096562,0.0,444.2150532400352,444.945466647274,443.9514360874168,443.9527912810228
1.0800000000000005,-0.04349402692,-0.00535035680745,11.069304116,0.00946900991968,0.0285797733404,0.0,-0.149887855518,0.00747844425288,2.12869226371,0.0421343223192,0.023906684636,0.0,463.82246645829775,464.3227726016449,462.55090131366603,462.874822473495
1.1400000000000006,-0.0530865030725,-0.00469519362746,11.2001210355,0.0122253015978,0.0300533570602,0.0,-0.170005149447,0.0146298914408,2.2316676099,0.0526263787981,0.0258346777597,0.0,442.067858271894,442.22678142987945,442.10750032903354,442.9723281616236
1.2000000000000006,-0.0639209257417,-0.00354996225835,11.337211892,0.0148590494148,0.0322488818753,0.0,-0.191335081897,0.0238524070037,2.33780431406,0.0140226243475,0.0522766065572,0.0,442.5242998993552,444.6960434957041,445.531332374336,442.3648720102017
